product_name,Category
Rugs,Décor
Curtains,Décor
Wall Art,Décor
Home Decor,Décor
Dress,Fashion
Shoes,Fashion
Formal Shirt,Fashion
Skirt,Fashion
Sports Shoes,Fashion
Activewear Set,Fashion
Jacket,Fashion
T-Shirt,Fashion
Sweater,Fashion
Jeans,Fashion
Lighting,Fixtures
Appliance Set,Fixtures
Kitchen Appliances,Fixtures
Furniture,Furniture
Dining Set,Furniture
Bedding,Furniture
Virtual Reality Headset,Technology
Tablet,Technology
TV,Technology
Camera,Technology
Smart Watch,Technology
Laptop,Technology
Headphones,Technology
Wireless Speaker,Technology
Gaming Console,Technology
Smartphone,Technology
